38-25 0 5 18
38-26 1 6 18
38-27 0 7 18
38-28 1 8 18
38-29 0 9 18
38-30 1 10 18
38-31 0 11 18
38-32 1 12 18
38-33 0 13 18
38-34 1 14 18
38-35 0 15 18
38-36 1 16 18
38-37 0 17 18
38-38 1 18 18
38-39 0 19 18
38-40 1 20 18
39-21 1 1 19
39-22 0 2 19
39-23 1 3 19
39-24 0 4 19
39-25 1 5 19
39-26 0 6 19
39-27 1 7 19
39-28 0 8 19
39-29 1 9 19
39-30 0 10 19
39-31 1 11 19
39-32 0 12 19
39-33 1 13 19
39-34 0 14 19
39-35 1 15 19
39-36 0 16 19
39-37 1 17 19
39-38 0 18 19
39-39 1 19 19
39-40 0 20 19
40-21 0 1 20
40-22 1 2 20
40-23 0 3 20
40-24 1 4 20
40-25 0 5 20
40-26 1 6 20
40-27 0 7 20
40-28 1 8 20
40-29 0 9 20
40-30 1 10 20
40-31 0 11 20
40-32 1 12 20
40-33 0 13 20
40-34 1 14 20
40-35 0 15 20
40-36 1 16 20
40-37 0 17 20
40-38 1 18 20
40-39 0 19 20
40-40 1 20 20
C1 1 1 8
C10 1 2 7
C11 1 3 7
C12 1 4 7
C13 1 5 7
C14 1 6 7
C15 1 7 7
C16 1 8 7
C17 1 1 6
C18 1 2 6
C19 1 3 6
C2 1 2 8
C20 1 4 6
C21 1 5 6
C22 1 6 6
C23 1 7 6
C24 1 8 6
C25 1 1 5
C26 1 2 5
C27 1 3 5
C28 1 4 5
C29 1 5 5
C3 1 3 8
C30 1 6 5
C31 1 7 5
C32 1 8 5
C33 1 1 4
C34 1 2 4
C35 1 3 4
C36 1 4 4
C37 1 5 4
C38 1 6 4
C39 1 7 4
C4 1 4 8
C40 1 8 4
C41 1 1 3
C42 1 2 3
C43 1 3 3
C44 1 4 3
C45 1 5 3
C46 1 6 3
C47 1 7 3
C48 1 8 3
C49 1 1 2
C5 1 5 8
C50 1 2 2
C51 1 3 2
C52 1 4 2
C53 1 5 2
C54 1 6 2
C55 1 7 2
C56 1 8 2
C57 1 1 1
C58 1 2 1
C59 1 3 1
C6 1 6 8
C60 1 4 1
C61 1 5 1
C62 1 6 1
C63 1 7 1
C64 1 8 1
C7 1 7 8
C8 1 8 8
C9 1 1 7
Coin 0 -1 -1
DWC1D 0 -1 -1
DWC1L 0 -1 -1
DWC1R 0 -1 -1
DWC1U 0 -1 -1
DWC2D 0 -1 -1
DWC2L 0 -1 -1
DWC2R 0 -1 -1
DWC2U 0 -1 -1
LC2 0 -1 -1
LC3 0 -1 -1
LC4 0 -1 -1
LC5 0 -1 -1
LC7 0 -1 -1
LC8 0 -1 -1
LC9 0 -1 -1
LC10 0 -1 -1
LC11 0 -1 -1
LC12 0 -1 -1
LC13 0 -1 -1
LC14 0 -1 -1
LC15 0 -1 -1
LC16 0 -1 -1
LC20 0 -1 -1
M1-T1-C 1 1 6
M1-T1-S 0 1 6
M1-T2-C 1 2 6
M1-T2-S 0 2 6
M1-T3-C 1 1 5
M1-T3-S 0 1 5
M1-T4-C 1 2 5
M1-T4-S 0 2 5
M10-T1-C 1 -1 -1
M10-T1-S 0 -1 -1
M10-T2-C 1 -1 -1
M10-T2-S 0 -1 -1
M10-T3-C 1 -1 -1
M10-T3-S 0 -1 -1
M10-T4-C 1 -1 -1
M10-T4-S 0 -1 -1
M11-T1-C 1 -1 -1
M11-T1-S 0 -1 -1
M11-T2-C 1 -1 -1
M11-T2-S 0 -1 -1
M11-T3-C 1 -1 -1
M11-T3-S 0 -1 -1
M11-T4-C 1 -1 -1
M11-T4-S 0 -1 -1
M11-T6-C 1 -1 -1
M11-T6-S 0 -1 -1
M11-T7-C 1 -1 -1
M11-T7-S 0 -1 -1
M11-T8-C 1 -1 -1
M11-T8-S 0 -1 -1
M11-T9-C 1 -1 -1
M11-T9-S 0 -1 -1
M2-T1-C 1 3 6
M2-T1-S 0 3 6
M2-T2-C 1 4 6
M2-T2-S 0 4 6
M2-T3-C 1 3 5
M2-T3-S 0 3 5
M2-T4-C 1 4 5
M2-T4-S 0 4 5
M3-T1-C 1 5 6
M3-T1-S 0 5 6
M3-T2-C 1 6 6
M3-T2-S 0 6 6
M3-T3-C 1 5 5
M3-T3-S 0 5 5
M3-T4-C 1 6 5
M3-T4-S 0 6 5
M4-T1-C 1 1 4
M4-T1-S 0 1 4
M4-T2-C 1 2 4
M4-T2-S 0 2 4
M4-T3-C 1 1 3
M4-T3-S 0 1 3
M4-T4-C 1 2 3
M4-T4-S 0 2 3
M5-T1-C 1 3 4
M5-T1-S 0 3 4
M5-T2-C 1 4 4
M5-T2-S 0 4 4
M5-T3-C 1 3 3
M5-T3-S 0 3 3
M5-T4-C 1 4 3
M5-T4-S 0 4 3
M6-T1-C 1 5 4
M6-T1-S 0 5 4
M6-T2-C 1 6 4
M6-T2-S 0 6 4
M6-T3-C 1 5 3
M6-T3-S 0 5 3
M6-T4-C 1 6 3
M6-T4-S 0 6 3
M7-T1-C 1 1 2
M7-T1-S 0 1 2
M7-T2-C 1 2 2
M7-T2-S 0 2 2
M7-T3-C 1 1 1
M7-T3-S 0 1 1
M7-T4-C 1 2 1
M7-T4-S 0 2 1
M8-T1-C 1 3 2
M8-T1-S 0 3 2
M8-T2-C 1 4 2
M8-T2-S 0 4 2
M8-T3-C 1 3 1
M8-T3-S 0 3 1
M8-T4-C 1 4 1
M8-T4-S 0 4 1
M9-T1-C 1 5 2
M9-T1-S 0 5 2
M9-T2-C 1 6 2
M9-T2-S 0 6 2
M9-T3-C 1 5 1
M9-T3-S 0 5 1
M9-T4-C 1 6 1
M9-T4-S 0 6 1
MC 0 -1 -1
null_11_20 0 -1 -1
null_13_12 0 -1 -1
null_13_13 0 -1 -1
null_13_17 0 -1 -1
null_13_19 0 -1 -1
null_13_21 0 -1 -1
null_13_22 0 -1 -1
null_13_23 0 -1 -1
null_13_24 0 -1 -1
null_20_25 0 -1 -1
null_20_27 0 -1 -1
null_20_29 0 -1 -1
null_20_31 0 -1 -1
CC1 0 -1 -1
CC2 0 -1 -1
PS 0 -1 -1
S1 0 1 8
S10 0 2 7
S11 0 3 7
S12 0 4 7
S13 0 5 7
S14 0 6 7
S15 0 7 7
S16 0 8 7
S17 0 1 6
S18 0 2 6
S19 0 3 6
S2 0 2 8
S20 0 4 6
S21 0 5 6
S22 0 6 6
S23 0 7 6
S24 0 8 6
S25 0 1 5
S26 0 2 5
S27 0 3 5
S28 0 4 5
S29 0 5 5
S3 0 3 8
S30 0 6 5
S31 0 7 5
S32 0 8 5
S33 0 1 4
S34 0 2 4
S35 0 3 4
S36 0 4 4
S37 0 5 4
S38 0 6 4
S39 0 7 4
S4 0 4 8
S40 0 8 4
S41 0 1 3
S42 0 2 3
S43 0 3 3
S44 0 4 3
S45 0 5 3
S46 0 6 3
S47 0 7 3
S48 0 8 3
S49 0 1 2
S5 0 5 8
S50 0 2 2
S51 0 3 2
S52 0 4 2
S53 0 5 2
S54 0 6 2
S55 0 7 2
S56 0 8 2
S57 0 1 1
S58 0 2 1
S59 0 3 1
S6 0 6 8
S60 0 4 1
S61 0 5 1
S62 0 6 1
S63 0 7 1
S64 0 8 1
S7 0 7 8
S8 0 8 8
S9 0 1 7
T1 0 -1 -1
T1Nim 0 -1 -1
T2 0 -1 -1
T2Nim 0 -1 -1
TC 0 -1 -1
Veto 0 -1 -1
VetoNim 0 -1 -1
